NUTS, Total Population
DEG0C,134096
DEG0D,68555
DEG0E,61892
DEG0F,105234
DEG0G,82202
DEG0H,56259
DEG0I,100231
DEG0J,82489
DEG0K,78150
DEG0L,94682
DEG0M,86680
DEG0O,158156
DK011,804049
DK012,552324
DK013,468363
DK014,39473
DK021,253940
DK022,587553
DK031,500457
DK032,724351
DK041,426242
DK042,913143
DK050,589720
EE001,613061
EE004,144784
EE008,315929
EE009,121572
EE00A,132372
EL305,475898
EL306,152453
EL307,496075
EL30A,2501651
EL411,116350
EL412,48337
EL413,57598
EL421,214748
EL422,122995
EL431,306203
EL432,71274
EL433,85297
EL434,155366
EL511,142087
EL512,107420
EL513,105970
EL514,93021
EL515,127575
EL521,136353
EL522,1061758
EL523,76956
EL524,131021
EL525,127304
EL526,158972
EL527,106917
EL531,162203
EL532,43978
EL533,47222
EL541,115071
EL542,43501
EL543,161857
EL611,222495
EL612,269671
EL613,194854
EL621,38381
EL622,97491
EL623,37258
EL624,23010
EL631,190825
EL632,285781
EL633,149462
EL641,118959
EL642,205634
EL643,17741
EL644,152724
EL645,40905
EL651,170021
EL652,142175
EL653,239393
ES111,1126661
ES112,326033
ES113,305769
ES114,948424
ES120,1011207
ES130,587990
ES211,331856
ES212,717458
ES213,1139765
ES220,663407
ES230,317742
ES241,223792
ES242,133887
ES243,962329
ES300,6812189
ES411,160011
ES412,354925
ES413,454499
ES414,158092
ES415,328248
ES416,154687
ES417,89669
ES418,520682
ES419,168611
ES421,389881
ES422,492566
ES423,200010
ES424,268251
ES425,711756
ES431,670617
ES432,388305
ES511,5675837
ES512,782080
ES513,439938
ES514,829050
ES521,1917240
ES522,582218
ES523,2607133
ES531,174507
ES532,956920
ES533,100559
ES611,728737
ES612,1267063
ES613,781515
ES614,935802
ES615,536436
ES616,625862
ES617,1724308
ES618,1971955
ES620,1533216
ES630,82884
ES640,83572
ES703,11654
ES704,123198
ES705,881875
ES706,22884
ES707,86999
ES708,155733
ES709,984856
FI193,272018
FI194,191157
FI195,175653
FI196,213393
FI197,527522
FI1B1,1713967
FI1C1,482859
FI1C2,169665
FI1C3,204401
FI1C4,160553
FI1C5,125542
FI1D1,131046
FI1D2,247760
FI1D3,162788
FI1D5,67717
FI1D7,175997
FI1D8,70950
FI1D9,415071
FI200,30335
FR101,2137114
FR102,1443870
FR103,1463680
FR104,1313906
FR105,1642722
FR106,1677825
FR107,1435116
FR108,1277591
FRB01,296584
FRB02,427231
FRB03,214539
FRB04,613314
FRB05,325113
FRB06,685753
FRC11,534179
FRC12,199125
FRC13,545867
FRC14,329265
FRC21,547609
FRC22,256717
FRC23,232139
FRC24,137428
FRD11,694894
FRD12,490712
FRD13,272619
FRD21,593040
FRD22,1252588
FRE11,2605209
FRE12,1455135
FRE21,523644
FRE22,832568
FRE23,565550
FRF11,1156605
FRF12,768403
FRF21,265012
FRF22,310871
FRF23,562034
FRF24,165875
FRF31,730368
FRF32,177825
FRF33,1044112
FRF34,357672
FRG01,1479361
FRG02,825168
FRG03,305590
FRG04,564311
FRG05,699720
FRH01,601009
FRH02,923036
FRH03,1108610
FRH04,771231
FRI11,410675
FRI12,1683518
FRI13,422689
FRI14,328652
FRI15,691465
FRI21,238081
FRI22,113464
FRI23,369302
